*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=ohmPi_MUX_64elec_I2C
*Date=19:49:17
*CreatedBy=Fritzing 0.9.6b.2021-02-21.CD-175-0-8a1e0682
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
154;;to-92;28.1191;-167.938;-90;Bottom;Q21
155;100k;THT;163.76;-279.748;90;Bottom;R45
156;;diode-1n4001;235.72;-329.042;-90;Bottom;D64
157;;diode-1n4001;32.7602;-88.8575;-90;Bottom;D2
158;12V;THT;114.228;-122.905;0;Bottom;OMRON20
159;100k;THT;93.7601;-73.2475;90;Bottom;R17
160;12V;THT;114.228;-105.905;0;Bottom;OMRON19
161;12V;THT;47.2708;-309.904;0;Bottom;OMRON15
162;;diode-1n4001;167.747;-260.981;-90;Bottom;D44
163;;diode-1n4001;32.6702;-157.097;-90;Bottom;D6
164;;to-92;231.174;-117.232;-90;Bottom;Q52
165;100k;THT;232.26;-177.248;90;Bottom;R55
166;100k;THT;96.7602;-124.747;90;Bottom;R20
167;100k;THT;163.76;-194.247;90;Bottom;R40
168;;diode-1n4001;235.72;-226.882;-90;Bottom;D58
169;;THT;261.37;-351.818;-90;Bottom;49-64
170;;THT;166.76;-7.93763;0;Bottom;J21
171;;diode-1n4001;99.6383;-158.065;-90;Bottom;D22
172;;THT;10.7961;-312.599;0;Bottom;J15
173;;diode-1n4001;235.72;-106.882;-90;Bottom;D51
174;12V;THT;182.247;-191.901;0;Bottom;OMRON40
175;;;45.7302;-44.1275;0;Bottom;MCP23017-1
176;100k;THT;231.26;-73.7475;90;Bottom;R49
177;12V;THT;182.247;-276.901;0;Bottom;OMRON45
178;;;20.561;-330.553;0;Bottom;TXT3
179;12V;THT;47.2602;-275.937;0;Bottom;OMRON13
180;;diode-1n4001;99.6614;-175.069;-90;Bottom;D23
181;100k;THT;29.9205;-192.587;-90;Bottom;R8
182;;diode-1n4001;32.7602;-294.018;-90;Bottom;D14
183;;THT;58.4102;-350.794;-90;Bottom;1-16
184;100k;THT;232.76;-91.7475;90;Bottom;R50
