*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=mb.2023.0.0
*Date=14:43:53
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
137;;;41.1861;-63.5178;0;Bottom;Copper Fill56
138;;;90.0049;-44.671;0;Bottom;Copper Fill116
139;;;31.0261;-55.8216;0;Bottom;Copper Fill62
140;;;60.4266;-57.7901;0;Bottom;Copper Fill48
141;;;58.3184;-53.9674;0;Bottom;Copper Fill2
142;;;58.3184;-48.8874;0;Bottom;Copper Fill4
143;;;27.7368;-22.7888;0;Bottom;Copper Fill94
144;;THT;129.778;-56.2543;-90;Bottom;J14
145;;;19.4945;-11.9557;0;Bottom;Copper Fill88
146;1k;THT;36.158;-62.6051;180;Bottom;R27
147;;;76.454;-17.2008;0;Bottom;Copper Fill38
148;;;2.4257;-24.5033;0;Bottom;Copper Fill96
149;;;35.7505;-42.4357;0;Bottom;Copper Fill86
150;;;123.876;-23.5508;0;Bottom;Copper Fill67
151;;;130.568;-2.60919;0;Bottom;TXT2
152;;;58.3184;-10.7873;0;Bottom;Copper Fill22
153;;;11.2141;-24.5033;0;Bottom;Copper Fill35
154;;;5.4229;-48.1254;0;Bottom;Copper Fill121
155;;;18.2753;-54.1452;0;Bottom;Copper Fill99
156;;THT;119.275;-22.2936;0;Bottom;U2
157;;;58.3184;-56.5074;0;Bottom;Copper Fill1
158;;dip08;34.8581;-51.1751;180;Bottom;LM358-2
159;;;112.865;-44.2646;0;Bottom;Copper Fill115
160;;;123.025;-32.0217;0;Bottom;Copper Fill75
161;;;97.4852;-11.2572;0;Bottom;Copper Fill24
162;;;56.0832;-14.6608;0;Bottom;Copper Fill46
163;;;19.8249;-2.75372;0;Bottom;TXT2
164;;THT;12.0317;-9.72221;90;Bottom;J16
165;;;58.3184;-46.3474;0;Bottom;Copper Fill5
166;;;58.3184;-23.4873;0;Bottom;Copper Fill16
167;;;9.3345;-11.9557;0;Bottom;Copper Fill110
168;;;20.6248;-10.8;0;Bottom;Copper Fill90
169;;;123.025;-24.4017;0;Bottom;Copper Fill65
170;;DIP (Dual Inline) [THT];81.1747;-17.1283;0;Bottom;MCP23008
