*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=card_measure_raspberry_v3.16
*Date=18:55:59
*CreatedBy=Fritzing 0.9.9b.2021-09-22.CD-348-0-f0af53a9
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
146;;;42.9768;-7.54882;0;Bottom;Copper Fill55
147;;;11.2141;-26.0781;0;Bottom;Copper Fill34
148;;;84.3561;-60.5149;0;Bottom;TXT3
149;;;98.3869;-10.3555;0;Bottom;Copper Fill23
150;1k;THT;36.158;-62.6051;180;Bottom;R27
151;;;114.554;-14.6608;0;Bottom;Copper Fill79
152;;;14.4889;-2.75372;0;Bottom;TXT2
153;;;87.4649;-42.9945;0;Bottom;Copper Fill113
154;;;69.6849;-44.671;0;Bottom;Copper Fill51
155;;THT;9.92886;-38.5713;180;Bottom;J17
156;;;60.4266;-57.7901;0;Bottom;Copper Fill48
157;;;107.945;-4.73836;0;Bottom;Hole1
158;;;18.2753;-55.6946;0;Bottom;Copper Fill98
159;;;26.0604;-22.7888;0;Bottom;Copper Fill93
160;;dip08;22.1347;-51.0483;180;Bottom;LM358-1
161;;;19.8249;-2.75372;0;Bottom;TXT2
162;;;41.1861;-61.816;0;Bottom;Copper Fill57
163;;;68.0466;-32.7076;0;Bottom;Copper Fill17
164;;;47.2186;-33.7616;0;Bottom;Copper Fill33
165;;;4.12741;-2.75372;0;Bottom;TXT2
166;;DIP24 [THT];34.6175;-16.2468;180;Bottom;THD 15-1211N2
167;;;107.945;-62.7383;0;Bottom;Hole4
168;;;56.0832;-32.39;0;Bottom;Copper Fill41
169;;;58.3184;-20.9473;0;Bottom;Copper Fill18
170;;;20.6248;-10.8;0;Bottom;Copper Fill90
