*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=card_measure_raspberry_v3.15
*Date=09:53:26
*CreatedBy=Fritzing 0.9.6b.2021-02-21.CD-175-0-8a1e0682
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
146;;;41.3004;-7.54882;0;Bottom;Copper Fill54
147;;;123.876;-31.1708;0;Bottom;Copper Fill77
148;;;31.0261;-54.2722;0;Bottom;Copper Fill63
149;;;130.568;-2.60919;0;Bottom;TXT2
150;;;109.093;-43.7312;0;Bottom;Copper Fill7
151;;;26.9113;-21.9633;0;Bottom;Copper Fill92
152;;THT;9.92886;-38.5713;180;Bottom;J17
153;1.5k;THT;106.575;-37.4483;0;Bottom;R1
154;;;115.405;-27.7799;0;Bottom;Copper Fill72
155;;;58.3184;-31.1073;0;Bottom;Copper Fill12
156;;;56.0832;-24.8208;0;Bottom;Copper Fill43
157;;;78.1558;-7.04082;0;Bottom;Copper Fill50
158;;;107.945;-62.7383;0;Bottom;Hole4
159;;;2.67389;-36.1982;90;Bottom;TXT2
160;;;111.655;-48.8783;90;Bottom;INA282
161;;;27.7368;-22.7888;0;Bottom;Copper Fill94
162;;;42.1513;-8.39972;0;Bottom;Copper Fill53
163;;;58.3184;-56.5074;0;Bottom;Copper Fill1
164;;;84.3561;-60.5149;0;Bottom;TXT3
165;;;56.0832;-14.6608;0;Bottom;Copper Fill46
166;;;90.0049;-42.9945;0;Bottom;Copper Fill117
167;;dip08;34.8581;-51.1751;180;Bottom;LM358-2
168;;;76.454;-17.2008;0;Bottom;Copper Fill38
169;;;2.4257;-26.0781;0;Bottom;Copper Fill95
170;;;19.8249;-2.75372;0;Bottom;TXT2
