Component,Quantity,Cost per unit,Mouser ref,Manufacturer,Manufacturer reference,Description,Web link,Total cost EUR excl.VAT
header socket 1 row 8 positions,4,1.74,571-5-535541-6,5-535541-6,TE Connectivity,Headers & Wire Housings REC 1X08P VRT T/H,https://eu.mouser.com/ProductDetail/TE-Connectivity/5-535541-6?qs=xDp7PGUNC%252BuqVwKJJvkWQw%3D%3D,6.96
header socket 1 row 10 positions,2,2.71,200-SSW11002GS,SSW-110-02-G-S,Samtec,"Headers & Wire Housings Tiger Buy Socket Strip with PCB Tails, .100"" Pitch",https://eu.mouser.com/ProductDetail/Samtec/SSW-110-02-G-S?qs=rU5fayqh%252BE0w1ORXZiBQpw%3D%3D,5.42
header socket 1 row 2 positions,1,1.02,200-SSW10202GS,SSW-102-02-G-S,Samtec,"Headers & Wire Housings Tiger Buy Socket Strip with PCB Tails, .100"" Pitch",https://eu.mouser.com/ProductDetail/Samtec/SSW-102-02-G-S?qs=rU5fayqh%252BE2ZEIMTlw%2FBLw%3D%3D,1.02
header pins 1 row 10 positions,1,1.24,571-1-826629-0,1-826629-0,TE Connectivity,Headers & Wire Housings 10P SINGLE ROW,https://eu.mouser.com/ProductDetail/TE-Connectivity/1-826629-0?qs=FazuUmncXom0aPLI6ZgGxg%3D%3D,1.24
IDC pins,3,1.32,571-1761681-1,1761681-1,TE Connectivity,Headers & Wire Housings IDC LOW PRO HDR 6P VERT HT BLACK,https://eu.mouser.com/ProductDetail/TE-Connectivity/1761681-1?qs=BqFpTYCQ3dLAeZ2wzdz7aw%3D%3D,3.96
PCB measurement board (pack of 3),1,,,,,,https://aisler.net/?lang=fr-FR,70
10k potentiometer,2,optional,,,,,,0
R array sip9,1,optional,,,,,,0
10k potentiometer bournds 3296W_vertical,1,optional,,,,,,0
Raspberryp pi 4,1,63,,,,,https://www.kiwi-electronics.com/en/raspberry-pi-4-model-b-4gb-4268?src=raspberrypi,63
socket to cut for 3 THD,3,1.73,,,,,https://www.mouser.be/ProductDetail/Mill-Max/801-47-012-10-012000?qs=5aG0NVq1C4x40xNvDlnKzg%3D%3D,5.19

